Año,Trimestre,Provincia,Accesos por cada 100 hogares,Mbps (Media de bajada),Banda ancha fija,Dial up,Total
2021,2,Tierra Del Fuego,"67,89",9,35.404,289,35.693
2021,2,Tucumán,"54,93",40,233.026,25,233.051
2021,1,Buenos Aires,"69,11",51,4.054.936,5.066,4.060.002
2021,1,Capital Federal,"108,42",68,1.378.283,1.390,1.379.673
2021,1,Catamarca,"48,9",40,51.967,1,51.968
2021,1,Chaco,"43,14",34,139.767,3,139.770
2021,1,Chubut,"68,99",8,131.515,825,132.340
2021,1,Córdoba,"78,59",36,910.826,55,910.881
2021,1,Corrientes,"42,66",26,126.622,3,126.625
2021,1,Entre Ríos,"60,44",24,251.950,13,251.963
2021,1,Formosa,"32,73",21,50.686,- 0,50.686
2021,1,Jujuy,"55,63",27,110.456,- 0,110.456
2021,1,La Pampa,"81,78",11,96.989,116,97.105
2021,1,La Rioja,"49,81",13,52.625,3,52.628
2021,1,Mendoza,"39,15",13,218.308,615,218.923
2021,1,Misiones,"43,17",25,149.387,- 0,149.387
2021,1,Neuquén,"66,84",34,132.862,373,133.235
2021,1,Río Negro,"60,88",22,140.667,501,141.168
2021,1,Salta,"53,93",27,187.572,2,187.574
2021,1,San Juan,"39,06",7,78.011,256,78.267
2021,1,San Luis,"81,24",22,119.006,148,119.154
2021,1,Santa Cruz,"41,65",8,45.868,197,46.065
2021,1,Santa Fe,"73,92",28,825.990,137,826.127
2021,1,Santiago Del Estero,"45,67",12,111.640,1,111.641
2021,1,Tierra Del Fuego,"77,35",9,40.133,289,40.422
2021,1,Tucumán,"54,82",38,231.890,22,231.912
2020,4,Buenos Aires,"68,98",50,4.028.195,5.066,4.033.261
2020,4,Capital Federal,"108,31",67,1.378.140,1.390,1.379.530
2020,4,Catamarca,"49,41",38,52.395,1,52.396
2020,4,Chaco,"43,03",32,139.088,3,139.091
2020,4,Chubut,"68,35",7,129.749,825,130.574
2020,4,Córdoba,"78,08",35,902.646,55,902.701
2020,4,Corrientes,"42,43",25,125.656,3,125.659
2020,4,Entre Ríos,"59,47",24,247.368,13,247.381
2020,4,Formosa,"32,49",20,50.206,- 0,50.206
2020,4,Jujuy,"53,46",25,105.851,- 0,105.851
2020,4,La Pampa,"81,77",10,96.779,116,96.895
2020,4,La Rioja,"50,11",13,52.775,3,52.778
2020,4,Mendoza,"38,63",11,214.838,615,215.453
2020,4,Misiones,"42,64",25,147.161,- 0,147.161
2020,4,Neuquén,67,34,132.762,373,133.135
2020,4,Río Negro,"61,09",22,140.709,501,141.210
2020,4,Salta,"54,04",25,187.388,2,187.390
2020,4,San Juan,"36,32",6,72.340,256,72.596
2020,4,San Luis,"81,68",21,119.287,148,119.435
2020,4,Santa Cruz,37,7,40.477,197,40.674
2020,4,Santa Fe,"73,58",27,820.676,137,820.813
2020,4,Santiago Del Estero,"43,75",11,106.668,1,106.669
2020,4,Tierra Del Fuego,"76,27",8,39.325,289,39.614
2020,4,Tucumán,"54,78",36,231.067,22,231.089
2020,3,Buenos Aires,"67,66",48,3.932.211,5.066,3.937.277
2020,3,Capital Federal,"107,68",64,1.371.285,1.390,1.372.675
2020,3,Catamarca,"47,16",37,49.903,1,49.904
2020,3,Chaco,"41,54",31,133.951,3,133.954
2020,3,Chubut,"68,34",7,129.202,825,130.027
2020,3,Córdoba,"75,22",34,867.417,55,867.472
2020,3,Corrientes,"41,75",24,123.388,3,123.391
2020,3,Entre Ríos,"58,19",22,241.482,13,241.495
2020,3,Formosa,"31,91",18,49.209,- 0,49.209
2020,3,Jujuy,"54,04",22,106.728,- 0,106.728
2020,3,La Pampa,"79,26",11,93.619,116,93.735
2020,3,La Rioja,"50,12",12,52.613,3,52.616
2020,3,Mendoza,"37,35",10,207.173,615,207.788
2020,3,Misiones,"41,6",24,143.186,- 0,143.186
2020,3,Neuquén,"65,24",31,128.862,373,129.235
2020,3,Río Negro,"57,05",21,130.966,501,131.467
2020,3,Salta,"52,32",25,180.844,2,180.846
2020,3,San Juan,"38,79",6,77.071,256,77.327
2020,3,San Luis,"79,96",21,116.417,148,116.565
2020,3,Santa Cruz,"35,95",7,39.084,197,39.281
2020,3,Santa Fe,"72,12",26,802.861,137,802.998
2020,3,Santiago Del Estero,"43,38",11,105.491,1,105.492
2020,3,Tierra Del Fuego,"76,81",9,39.366,289,39.655
2020,3,Tucumán,"53,23",35,223.854,22,223.876
2020,2,Buenos Aires,"65,22",46,3.772.480,5.066,3.777.546
2020,2,Capital Federal,"106,41",60,1.356.431,1.390,1.357.821
2020,2,Catamarca,"45,43",35,47.975,1,47.976
2020,2,Chaco,"39,83",28,128.129,3,128.132
2020,2,Chubut,"57,34",8,107.831,825,108.656
2020,2,Córdoba,"72,71",31,836.413,55,836.468
2020,2,Corrientes,"40,3",22,118.863,3,118.866
2020,2,Entre Ríos,"56,54",20,234.100,13,234.113
2020,2,Formosa,"31,14",17,47.932,- 0,47.932
2020,2,Jujuy,"47,89",16,94.316,- 0,94.316
2020,2,La Pampa,"76,1",8,89.693,116,89.809
2020,2,La Rioja,"49,84",12,52.152,3,52.155
2020,2,Mendoza,"36,25",9,200.569,615,201.184
2020,2,Misiones,"40,89",23,140.340,- 0,140.340
2020,2,Neuquén,"63,9",29,125.799,373,126.172
2020,2,Río Negro,"56,37",20,128.985,501,129.486
2020,2,Salta,"51,58",23,177.760,2,177.762
2020,2,San Juan,"35,09",6,69.521,256,69.777
2020,2,San Luis,"78,41",21,113.804,148,113.952
2020,2,Santa Cruz,"35,79",7,38.672,197,38.869
2020,2,Santa Fe,70,24,777.795,137,777.932
2020,2,Santiago Del Estero,"43,47",10,105.446,1,105.447
2020,2,Tierra Del Fuego,"76,37",8,38.900,289,39.189
2020,2,Tucumán,"51,78",33,217.134,22,217.156
2020,1,Buenos Aires,"64,33",45,3.702.985,5.066,3.708.051
