Año,Trimestre,Provincia,Accesos por cada 100 hogares,Mbps (Media de bajada),Banda ancha fija,Dial up,Total
2017,2,San Luis,"9,51",4,12.992,315,13.307
2017,2,Santa Cruz,"26,25",4,26.019,369,26.388
2017,2,Santa Fe,"52,27",7,566.918,362,567.280
2017,2,Santiago Del Estero,"14,12",5,33.194,2,33.196
2017,2,Tierra Del Fuego,"68,46",3,31.938,619,32.557
2017,2,Tucumán,"38,19",6,154.374,37,154.411
2017,1,Buenos Aires,"58,57",7,3.178.174,11.202,3.189.376
2017,1,Capital Federal,"108,37",8,1.391.030,8.016,1.399.046
2017,1,Catamarca,"25,66",5,26.304,13,26.317
2017,1,Chaco,"28,62",7,89.036,14,89.050
2017,1,Chubut,"35,66",3,62.166,1.730,63.896
2017,1,Córdoba,"57,65",7,641.066,133,641.199
2017,1,Corrientes,"30,94",6,88.596,12,88.608
2017,1,Entre Ríos,"44,91",6,180.296,57,180.353
2017,1,Formosa,"19,84",6,29.705,- 0,29.705
2017,1,Jujuy,"22,76",4,43.202,1,43.203
2017,1,La Pampa,"62,67",3,71.458,455,71.913
2017,1,La Rioja,"16,2",5,16.207,18,16.225
2017,1,Mendoza,"31,84",4,169.282,1.451,170.733
2017,1,Misiones,"29,52",7,97.619,- 0,97.619
2017,1,Neuquén,"61,02",6,113.227,2.112,115.339
2017,1,Río Negro,"46,03",4,100.288,1.000,101.288
2017,1,Salta,"32,58",5,107.632,1,107.633
2017,1,San Juan,"27,04",3,51.253,620,51.873
2017,1,San Luis,"9,55",4,12.992,315,13.307
2017,1,Santa Cruz,"26,52",4,26.116,370,26.486
2017,1,Santa Fe,"51,97",6,562.520,362,562.882
2017,1,Santiago Del Estero,"14,7",5,34.473,2,34.475
2017,1,Tierra Del Fuego,"68,92",3,31.938,619,32.557
2017,1,Tucumán,"37,9",6,152.734,37,152.771
2016,4,Buenos Aires,"61,24",6,3.131.499,11.202,3.142.701
2016,4,Capital Federal,"120,63",8,1.393.443,8.016,1.401.459
2016,4,Catamarca,"26,54",5,27.021,13,27.034
2016,4,Chaco,"28,79",7,88.833,14,88.847
2016,4,Chubut,"36,07",3,62.035,1.730,63.765
2016,4,Córdoba,"57,7",6,636.422,133,636.555
2016,4,Corrientes,"30,98",6,88.084,12,88.096
2016,4,Entre Ríos,"45,21",6,180.188,57,180.245
2016,4,Formosa,"19,85",6,29.513,- 0,29.513
2016,4,Jujuy,"22,65",4,42.624,1,42.625
2016,4,La Pampa,"63,02",3,71.368,460,71.828
2016,4,La Rioja,"16,46",5,16.298,18,16.316
2016,4,Mendoza,"32,11",4,169.274,1.451,170.725
2016,4,Misiones,"29,72",7,97.390,- 0,97.390
2016,4,Neuquén,"60,87",6,111.723,2.112,113.835
2016,4,Río Negro,"46,39",4,100.020,1.000,101.020
2016,4,Salta,"32,69",5,106.934,1,106.935
2016,4,San Juan,"27,29",3,51.301,620,51.921
2016,4,San Luis,"9,64",4,12.992,315,13.307
2016,4,Santa Cruz,"27,05",4,26.094,370,26.464
2016,4,Santa Fe,"52,19",6,561.470,362,561.832
2016,4,Santiago Del Estero,"15,07",5,35.049,2,35.051
2016,4,Tierra Del Fuego,"70,31",3,31.938,619,32.557
2016,4,Tucumán,"37,98",6,151.615,37,151.652
2016,3,Buenos Aires,"60,14",6,3.075.387,11.205,3.086.592
2016,3,Capital Federal,"120,77",7,1.395.053,8.051,1.403.104
2016,3,Catamarca,"26,48",5,26.957,13,26.970
2016,3,Chaco,"28,91",7,89.216,14,89.230
2016,3,Chubut,"36,18",3,62.222,1.730,63.952
2016,3,Córdoba,"58,24",6,642.458,133,642.591
2016,3,Corrientes,"31,07",6,88.328,12,88.340
2016,3,Entre Ríos,"45,44",6,181.092,57,181.149
2016,3,Formosa,"18,64",5,27.716,- 0,27.716
2016,3,Jujuy,"22,61",4,42.537,1,42.538
2016,3,La Pampa,"61,73",3,69.903,461,70.364
2016,3,La Rioja,"17,07",5,16.912,18,16.930
2016,3,Mendoza,"32,09",4,169.174,1.450,170.624
2016,3,Misiones,"29,91",7,97.997,- 0,97.997
2016,3,Neuquén,"60,21",5,110.491,2.112,112.603
2016,3,Río Negro,"46,39",4,100.024,1.002,101.026
2016,3,Salta,"32,96",5,107.790,1,107.791
2016,3,San Juan,"27,32",3,51.348,620,51.968
2016,3,San Luis,"9,63",4,12.978,315,13.293
2016,3,Santa Cruz,"26,84",4,25.886,371,26.257
2016,3,Santa Fe,"52,67",6,566.625,386,567.011
2016,3,Santiago Del Estero,"15,33",5,35.658,2,35.660
2016,3,Tierra Del Fuego,"68,94",3,31.306,619,31.925
2016,3,Tucumán,"37,9",6,151.282,37,151.319
2016,2,Buenos Aires,"59,34",5,3.032.776,12.515,3.045.291
2016,2,Capital Federal,"120,04",7,1.384.824,9.760,1.394.584
2016,2,Catamarca,"26,07",4,26.543,13,26.556
2016,2,Chaco,"28,59",6,88.235,16,88.251
2016,2,Chubut,"36,12",3,62.116,1.740,63.856
2016,2,Córdoba,"57,55",6,634.680,234,634.914
2016,2,Corrientes,"30,58",6,86.932,24,86.956
2016,2,Entre Ríos,"44,74",5,178.194,179,178.373
2016,2,Formosa,"19,37",5,28.801,1,28.802
2016,2,Jujuy,"21,89",4,41.187,2,41.189
2016,2,La Pampa,"60,44",3,68.403,485,68.888
2016,2,La Rioja,"16,88",5,16.718,18,16.736
2016,2,Mendoza,"32,13",4,169.274,1.550,170.824
2016,2,Misiones,"29,24",6,95.808,7,95.815
2016,2,Neuquén,"59,1",5,108.224,2.291,110.515
2016,2,Río Negro,"46,24",4,99.631,1.073,100.704
2016,2,Salta,"32,08",5,104.929,3,104.932
2016,2,San Juan,"27,34",3,51.392,621,52.013
2016,2,San Luis,"9,6",4,12.939,317,13.256
2016,2,Santa Cruz,"26,73",4,25.797,356,26.153
2016,2,Santa Fe,"52,44",5,563.867,607,564.474
2016,2,Santiago Del Estero,"15,89",4,36.958,3,36.961
2016,2,Tierra Del Fuego,"67,72",3,30.740,619,31.359
2016,2,Tucumán,"37,24",5,148.636,41,148.677
2016,1,Buenos Aires,"57,34",5,2.929.903,12.612,2.942.515
2016,1,Capital Federal,"115,16",6,1.328.079,9.817,1.337.896
2016,1,Catamarca,"25,91",4,26.376,13,26.389
2016,1,Chaco,"28,08",6,86.635,16,86.651
2016,1,Chubut,"36,09",3,62.060,1.740,63.800
2016,1,Córdoba,"55,28",5,609.692,234,609.926
2016,1,Corrientes,"30,08",5,85.510,26,85.536
2016,1,Entre Ríos,"43,85",5,174.634,179,174.813
2016,1,Formosa,"19,04",5,28.313,1,28.314
2016,1,Jujuy,"21,41",4,40.287,2,40.289
2016,1,La Pampa,"57,84",3,65.442,487,65.929
2016,1,La Rioja,"16,83",5,16.673,18,16.691
2016,1,Mendoza,"32,12",4,169.257,1.553,170.810
2016,1,Misiones,"28,37",6,92.951,7,92.958
2016,1,Neuquén,"55,75",4,101.969,2.292,104.261
2016,1,Río Negro,"45,84",4,98.745,1.077,99.822
2016,1,Salta,"31,32",5,102.423,3,102.426
2016,1,San Juan,"27,33",3,51.373,621,51.994
2016,1,San Luis,"9,59",4,12.915,317,13.232
2016,1,Santa Cruz,"26,87",3,25.931,356,26.287
2016,1,Santa Fe,"51,28",5,551.378,618,551.996
2016,1,Santiago Del Estero,"16,21",4,37.695,3,37.698
2016,1,Tierra Del Fuego,"65,83",3,29.867,619,30.486
2016,1,Tucumán,"36,72",5,146.596,41,146.637
2015,4,Buenos Aires,"58,29",5,2.946.743,12.642,2.959.385
2015,4,Capital Federal,"118,13",6,1.360.381,9.845,1.370.226
2015,4,Catamarca,"26,24",4,26.459,13,26.472
2015,4,Chaco,"28,35",6,86.537,16,86.553
2015,4,Chubut,"36,89",3,62.279,1.740,64.019
2015,4,Córdoba,"57,36",5,625.835,235,626.070
2015,4,Corrientes,"30,34",5,85.409,26,85.435
2015,4,Entre Ríos,"44,11",5,173.957,180,174.137
2015,4,Formosa,"19,07",5,28.088,1,28.089
2015,4,Jujuy,"21,47",4,39.922,2,39.924
2015,4,La Pampa,"58,76",3,66.054,312,66.366
2015,4,La Rioja,"17,32",5,16.914,18,16.932
2015,4,Mendoza,"32,49",4,169.251,1.556,170.807
2015,4,Misiones,"28,69",6,92.846,7,92.853
2015,4,Neuquén,"58,29",4,105.122,2.294,107.416
2015,4,Río Negro,"46,44",4,98.655,1.067,99.722
2015,4,Salta,"31,59",5,101.917,3,101.920
2015,4,San Juan,"27,66",3,51.408,621,52.029
2015,4,San Luis,"9,71",4,12.901,317,13.218
2015,4,Santa Cruz,"27,74",3,26.047,356,26.403
2015,4,Santa Fe,"52,61",5,561.045,627,561.672
2015,4,Santiago Del Estero,17,4,39.132,3,39.135
2015,4,Tierra Del Fuego,"66,46",3,29.334,619,29.953
2015,4,Tucumán,"37,06",5,146.053,42,146.095
2015,3,Buenos Aires,"57,69",5,2.916.070,12.695,2.928.765
2015,3,Capital Federal,"118,29",6,1.362.193,9.875,1.372.068
2015,3,Catamarca,"25,86",4,26.080,13,26.093
2015,3,Chaco,"27,96",5,85.354,16,85.370
2015,3,Chubut,"36,81",3,62.143,1.740,63.883
2015,3,Córdoba,"57,08",5,622.761,237,622.998
2015,3,Corrientes,"30,17",5,84.931,28,84.959
2015,3,Entre Ríos,"43,68",5,172.252,182,172.434
2015,3,Formosa,"18,84",4,27.751,1,27.752
2015,3,Jujuy,"21,27",4,39.548,2,39.550
2015,3,La Pampa,"57,96",3,64.976,495,65.471
2015,3,La Rioja,"17,15",4,16.753,18,16.771
2015,3,Mendoza,"32,49",4,169.261,1.562,170.823
2015,3,Misiones,"28,31",6,91.615,7,91.622
2015,3,Neuquén,"54,6",4,98.376,2.240,100.616
2015,3,Río Negro,"46,39",4,98.529,1.085,99.614
2015,3,Salta,"31,18",4,100.570,3,100.573
2015,3,San Juan,"27,67",3,51.409,621,52.030
2015,3,San Luis,"9,71",4,12.902,317,13.219
2015,3,Santa Cruz,"27,61",3,25.912,359,26.271
2015,3,Santa Fe,"52,15",5,556.097,641,556.738
2015,3,Santiago Del Estero,"17,12",4,39.394,3,39.397
2015,3,Tierra Del Fuego,"74,86",3,33.118,619,33.737
2015,3,Tucumán,"36,61",5,144.272,42,144.314
2015,2,Buenos Aires,"56,8",4,2.871.079,12.711,2.883.790
2015,2,Capital Federal,"116,07",5,1.336.391,9.893,1.346.284
2015,2,Catamarca,"25,45",4,25.666,13,25.679
2015,2,Chaco,"27,46",5,83.832,16,83.848
2015,2,Chubut,"36,58",3,61.745,1.740,63.485
2015,2,Córdoba,"55,87",5,609.510,236,609.746
2015,2,Corrientes,"29,58",5,83.288,28,83.316
2015,2,Entre Ríos,"42,93",5,169.309,183,169.492
2015,2,Formosa,"18,36",4,27.013,37,27.050
2015,2,Jujuy,"20,29",3,37.720,2,37.722
2015,2,La Pampa,"56,71",3,63.552,500,64.052
2015,2,La Rioja,"16,88",4,16.491,18,16.509
2015,2,Mendoza,"32,49",4,169.259,1.564,170.823
2015,2,Misiones,"27,35",5,88.512,7,88.519
2015,2,Neuquén,"53,12",4,95.644,2.241,97.885
2015,2,Río Negro,"45,98",4,97.640,1.087,98.727
2015,2,Salta,"30,46",4,98.264,3,98.267
2015,2,San Juan,"27,64",3,51.367,621,51.988
2015,2,San Luis,"9,71",4,12.904,317,13.221
2015,2,Santa Cruz,"27,07",3,25.384,379,25.763
2015,2,Santa Fe,"51,18",4,545.739,649,546.388
2015,2,Santiago Del Estero,"17,11",4,39.375,3,39.378
2015,2,Tierra Del Fuego,"74,51",3,32.960,619,33.579
2015,2,Tucumán,"35,69",4,140.635,42,140.677
2015,1,Buenos Aires,"56,37",4,2.847.076,14.766,2.861.842
2015,1,Capital Federal,"114,9",5,1.321.139,11.582,1.332.721
2015,1,Catamarca,"25,11",3,25.312,20,25.332
2015,1,Chaco,"26,65",5,81.329,31,81.360
2015,1,Chubut,"37,61",3,63.327,1.946,65.273
2015,1,Córdoba,"54,7",4,596.663,294,596.957
2015,1,Corrientes,"28,95",5,81.488,43,81.531
2015,1,Entre Ríos,"42,07",4,165.839,231,166.070
2015,1,Formosa,"18,12",3,26.657,43,26.700
2015,1,Jujuy,"19,69",3,36.608,3,36.611
2015,1,La Pampa,"55,51",3,62.155,542,62.697
2015,1,La Rioja,"16,7",4,16.310,23,16.333
2015,1,Mendoza,"32,37",4,168.355,1.805,170.160
2015,1,Misiones,"26,31",5,85.139,7,85.146
2015,1,Neuquén,"51,95",4,93.373,2.369,95.742
2015,1,Río Negro,"45,33",4,96.145,1.188,97.333
2015,1,Salta,"30,01",4,96.793,18,96.811
2015,1,San Juan,"27,55",3,51.117,702,51.819
2015,1,San Luis,"9,72",4,12.878,354,13.232
2015,1,Santa Cruz,"27,99",3,26.217,424,26.641
2015,1,Santa Fe,"50,24",4,535.640,797,536.437
2015,1,Santiago Del Estero,"17,06",4,39.244,8,39.252
2015,1,Tierra Del Fuego,"74,23",3,32.726,730,33.456
2015,1,Tucumán,"35,08",4,138.184,92,138.276
2014,4,Buenos Aires,"56,09",4,2.801.178,15.229,2.816.407
2014,4,Capital Federal,"114,9",5,1.318.526,11.994,1.330.520
2014,4,Catamarca,"25,51",3,25.472,21,25.493
2014,4,Chaco,"21,87",4,65.998,37,66.035
2014,4,Chubut,"40,25",3,66.557,1.985,68.542
2014,4,Córdoba,"54,7",4,590.113,319,590.432
2014,4,Corrientes,"23,56",4,65.656,54,65.710
2014,4,Entre Ríos,"36,03",4,140.567,246,140.813
2014,4,Formosa,"17,96",3,26.156,51,26.207
2014,4,Jujuy,"19,6",3,35.999,3,36.002
2014,4,La Pampa,"51,27",3,56.813,567,57.380
2014,4,La Rioja,"17,01",4,16.379,23,16.402
2014,4,Mendoza,"32,64",4,167.766,1.848,169.614
2014,4,Misiones,"24,16",4,77.222,7,77.229
2014,4,Neuquén,"52,55",4,92.999,2.397,95.396
2014,4,Río Negro,"45,48",4,95.050,1.210,96.260
2014,4,Salta,"29,53",4,93.921,26,93.947
2014,4,San Juan,"28,04",3,51.390,729,52.119
2014,4,San Luis,"9,79",4,12.788,359,13.147
2014,4,Santa Cruz,"27,8",3,25.277,436,25.713
2014,4,Santa Fe,50,4,528.459,938,529.397
2014,4,Santiago Del Estero,"17,27",3,39.308,9,39.317
2014,4,Tierra Del Fuego,"66,14",3,28.249,741,28.990
2014,4,Tucumán,"35,32",4,137.329,95,137.424
2014,3,Buenos Aires,"56,75",4,2.835.537,14.028,2.849.565
2014,3,Capital Federal,"113,8",4,1.307.195,10.630,1.317.825
2014,3,Catamarca,"24,71",3,24.665,21,24.686
2014,3,Chaco,"21,11",3,63.710,36,63.746
2014,3,Chubut,"40,6",3,67.130,2.007,69.137
2014,3,Córdoba,"54,23",4,585.231,200,585.431
2014,3,Corrientes,"22,79",3,63.516,33,63.549
2014,3,Entre Ríos,"34,98",3,136.618,115,136.733
2014,3,Formosa,"17,77",3,25.873,64,25.937
2014,3,Jujuy,"18,37",3,33.739,2,33.741
2014,3,La Pampa,"55,78",3,61.861,564,62.425
2014,3,La Rioja,"16,51",3,15.893,23,15.916
2014,3,Mendoza,"32,31",4,166.184,1.740,167.924
2014,3,Misiones,"23,57",4,75.327,- 0,75.327
2014,3,Neuquén,"56,4",4,100.099,2.268,102.367
2014,3,Río Negro,"46,2",3,96.629,1.151,97.780
2014,3,Salta,"29,22",3,92.929,25,92.954
2014,3,San Juan,"27,85",3,51.031,748,51.779
2014,3,San Luis,"9,71",4,12.683,363,13.046
2014,3,Santa Cruz,"28,23",3,25.664,446,26.110
2014,3,Santa Fe,"49,2",3,520.196,691,520.887
2014,3,Santiago Del Estero,"16,49",3,37.539,9,37.548
2014,3,Tierra Del Fuego,"65,69",3,28.037,755,28.792
2014,3,Tucumán,"33,94",3,131.978,88,132.066
2014,2,Buenos Aires,"55,06",4,2.750.430,14.116,2.764.546
2014,2,Capital Federal,"113,14",4,1.299.502,10.713,1.310.215
2014,2,Catamarca,"24,7",3,24.660,23,24.683
2014,2,Chaco,"20,96",3,63.243,36,63.279
2014,2,Chubut,"41,41",3,68.503,2.016,70.519
2014,2,Córdoba,"53,45",4,576.747,205,576.952
2014,2,Corrientes,"22,58",3,62.925,33,62.958
2014,2,Entre Ríos,"34,69",3,135.468,115,135.583
2014,2,Formosa,"17,54",3,25.535,65,25.600
2014,2,Jujuy,"18,71",3,34.359,2,34.361
2014,2,La Pampa,"49,71",3,55.048,580,55.628
2014,2,La Rioja,"16,5",3,15.889,23,15.912
2014,2,Mendoza,"32,1",4,165.046,1.761,166.807
2014,2,Misiones,"23,37",4,74.689,- 0,74.689
2014,2,Neuquén,"50,84",4,90.053,2.235,92.288
2014,2,Río Negro,"45,33",3,94.812,1.145,95.957
2014,2,Salta,"28,91",3,91.949,25,91.974
2014,2,San Juan,"27,78",3,50.891,755,51.646
2014,2,San Luis,"9,72",4,12.691,364,13.055
2014,2,Santa Cruz,"29,38",3,26.710,459,27.169
2014,2,Santa Fe,"48,39",3,511.753,605,512.358
2014,2,Santiago Del Estero,"16,7",3,38.002,9,38.011
2014,2,Tierra Del Fuego,"64,36",3,27.443,766,28.209
2014,2,Tucumán,"33,94",3,131.981,88,132.069
2014,1,Buenos Aires,"54,57",4,2.725.732,14.144,2.739.876
2014,1,Capital Federal,"112,25",4,1.289.204,10.714,1.299.918
2014,1,Catamarca,"24,25",3,24.209,23,24.232
2014,1,Chaco,"20,72",3,62.520,36,62.556
2014,1,Chubut,"41,24",3,68.205,2.016,70.221
2014,1,Córdoba,"52,52",3,566.705,205,566.910
2014,1,Corrientes,"22,32",3,62.203,33,62.236
2014,1,Entre Ríos,"34,37",3,134.216,115,134.331
2014,1,Formosa,"17,42",3,25.335,87,25.422
2014,1,Jujuy,"18,42",3,33.825,2,33.827
2014,1,La Pampa,"48,43",3,53.601,592,54.193
2014,1,La Rioja,"16,29",3,15.688,23,15.711
2014,1,Mendoza,"31,91",4,164.084,1.761,165.845
2014,1,Misiones,"23,14",3,73.950,- 0,73.950
2014,1,Neuquén,"49,79",4,88.077,2.303,90.380
2014,1,Río Negro,"44,91",3,93.909,1.157,95.066
2014,1,Salta,"28,7",3,91.265,25,91.290
2014,1,San Juan,"27,6",3,50.543,755,51.298
2014,1,San Luis,"9,35",4,12.193,364,12.557
2014,1,Santa Cruz,"28,94",3,26.304,460,26.764
2014,1,Santa Fe,"47,85",3,506.000,612,506.612
2014,1,Santiago Del Estero,"16,31",3,37.124,9,37.133
2014,1,Tierra Del Fuego,"63,97",3,27.272,766,28.038
2014,1,Tucumán,"33,42",3,129.944,88,130.032
